Date,Return,Year,Month,Day,Business_Month_End,DX_to_Prev,DX_to_Curr,DX_Class,Non_Focus_Returns,Focus_Returns,Log_Cum_All_Returns,Log_Cum_Focus_Returns,Log_Cum_Non_Focus_Returns
19900102.0,-0.0009817232134897,1990,1,2,0,-2,21,-2,0.0,-0.0009817232134897,-0.0004265663937168,-0.0004265663937168,0.0
19900103.0,-0.0036584719275104,1990,1,3,0,-3,20,-3,-0.0036584719275104,0.0,-0.0020183340613581,-0.0004265663937168,-0.0015917676676413
19900104.0,0.0003602100489317,1990,1,4,0,-4,19,-4,0.0003602100489317,0.0,-0.0018619249931491,-0.0004265663937168,-0.0014353585994323
19900105.0,-0.0009799977744127,1990,1,5,0,-5,18,-5,-0.0009799977744127,0.0,-0.0022877413024678,-0.0004265663937168,-0.001861174908751
19900108.0,-0.0023230904642559,1990,1,8,0,-6,17,-6,-0.0023230904642559,0.0,-0.0032978203793824,-0.0004265663937168,-0.0028712539856657
19900109.0,-0.0003095238095238,1990,1,9,0,-7,16,-7,-0.0003095238095238,0.0,-0.0034322656699591,-0.0004265663937168,-0.0030056992762423
19900110.0,-0.0009802155872887,1990,1,10,0,-8,15,-8,-0.0009802155872887,0.0,-0.003858176667012,-0.0004265663937168,-0.0034316102732953
19900111.0,-0.0009826525117316,1990,1,11,0,-9,14,-8,-0.0009826525117316,0.0,-0.0042851470466174,-0.0004265663937168,-0.0038585806529006
19900112.0,-0.0043486355150978,1990,1,12,0,-10,13,-8,-0.0043486355150978,0.0,-0.0061778537897073,-0.0004265663937168,-0.0057512873959905
19900116.0,-0.0070762495732771,1990,1,16,0,-12,11,8,-0.0070762495732771,0.0,-0.0092619547811137,-0.0004265663937168,-0.0088353883873969
19900117.0,0.0003646507633875,1990,1,17,0,-13,10,8,0.0003646507633875,0.0,-0.0091036178338428,-0.0004265663937168,-0.008677051440126
19900118.0,-0.0090289006402779,1990,1,18,0,-14,9,8,-0.0090289006402779,0.0,-0.0130426289102411,-0.0004265663937168,-0.0126160625165242
19900119.0,0.0036638686226823,1990,1,19,0,-15,8,8,0.0036638686226823,0.0,-0.0114543388545301,-0.0004265663937168,-0.0110277724608133
19900122.0,-0.0008640346393353,1990,1,22,0,-16,7,7,-0.0008640346393353,0.0,-0.0118297465365526,-0.0004265663937168,-0.0114031801428358
19900123.0,0.0002325879487562,1990,1,23,0,-17,6,6,0.0002325879487562,0.0,-0.0117287466190771,-0.0004265663937168,-0.0113021802253602
19900124.0,-0.0082457641751263,1990,1,24,0,-18,5,5,-0.0082457641751263,0.0,-0.0153246825785704,-0.0004265663937168,-0.0148981161848535
19900125.0,-0.0029343597190771,1990,1,25,0,-19,4,4,-0.0029343597190771,0.0,-0.0166009322173554,-0.0004265663937168,-0.0161743658236385
19900126.0,-0.0050134111190081,1990,1,26,0,-20,3,3,-0.0050134111190081,0.0,-0.0187837051542769,-0.0004265663937168,-0.01835713876056
19900129.0,-0.0010117119142389,1990,1,29,0,-21,2,2,-0.0010117119142389,0.0,-0.0192233084693781,-0.0004265663937168,-0.0187967420756612
19900130.0,-0.00101219423437,1990,1,30,0,-22,1,1,-0.00101219423437,0.0,-0.0196631214656382,-0.0004265663937168,-0.0192365550719213
19900131.0,0.0051052315624062,1990,1,31,1,-23,0,0,0.0,0.0051052315624062,-0.0174515879734231,0.0017849670984982,-0.0192365550719213
19900201.0,0.0003732133253429,1990,2,1,0,-1,19,-1,0.0,0.0003732133253429,-0.0172895337241759,0.0019470213477454,-0.0192365550719213
19900202.0,-0.0057099561715233,1990,2,2,0,-2,18,-2,0.0,-0.0057099561715233,-0.0197764430291552,-0.0005398879572338,-0.0192365550719213
19900205.0,-0.0022658898879824,1990,2,5,0,-3,17,-3,-0.0022658898879824,0.0,-0.020761623080857,-0.0005398879572338,-0.0202217351236232
19900206.0,-0.0029661660910128,1990,2,6,0,-4,16,-4,-0.0029661660910128,0.0,-0.0220517269250124,-0.0005398879572338,-0.0215118389677786
19900207.0,0.0030294488314587,1990,2,7,0,-5,15,-5,0.0030294488314587,0.0,-0.0207380428804162,-0.0005398879572338,-0.0201981549231824
19900208.0,0.0016270556748018,1990,2,8,0,-6,14,-6,0.0016270556748018,0.0,-0.0200319958124109,-0.0005398879572338,-0.019492107855177
19900209.0,0.0117617238156949,1990,2,9,0,-7,13,-7,0.0117617238156949,0.0,-0.0149537503208713,-0.0005398879572338,-0.0144138623636374
19900212.0,-0.0063535568382014,1990,2,12,0,-8,12,-8,-0.0063535568382014,0.0,-0.0177218680343511,-0.0005398879572338,-0.0171819800771172
19900213.0,0.0030015182884746,1990,2,13,0,-9,11,-8,0.0030015182884746,0.0,-0.0164202776023603,-0.0005398879572338,-0.0158803896451265
19900214.0,-0.0008625836068364,1990,2,14,0,-10,10,-8,-0.0008625836068364,0.0,-0.0167950545644692,-0.0005398879572338,-0.0162551666072354
19900215.0,-0.00499624231202,1990,2,15,0,-11,9,8,-0.00499624231202,0.0,-0.0189703336779671,-0.0005398879572338,-0.0184304457207332
19900216.0,0.0003763879285175,1990,2,16,0,-12,8,8,0.0003763879285175,0.0,-0.0188069012326277,-0.0005398879572338,-0.0182670132753938
19900220.0,-0.0135868396114664,1990,2,20,0,-14,6,6,-0.0135868396114664,0.0,-0.0247480433971903,-0.0005398879572338,-0.0242081554399564
19900221.0,-0.0003178571428571,1990,2,21,0,-15,5,5,-0.0003178571428571,0.0,-0.0248861089440894,-0.0005398879572338,-0.0243462209868555
19900222.0,0.0050050653594771,1990,2,22,0,-16,4,4,0.0050050653594771,0.0,-0.0227178582799937,-0.0005398879572338,-0.0221779703227598
19900223.0,0.0003818903218388,1990,2,23,0,-17,3,3,0.0003818903218388,0.0,-0.0225520370812673,-0.0005398879572338,-0.0220121491240335
19900226.0,0.0042779108631711,1990,2,26,0,-18,2,2,0.0042779108631711,0.0,-0.0206981266099276,-0.0005398879572338,-0.0201582386526937
19900227.0,0.0030088788582691,1990,2,27,0,-19,1,1,0.0030088788582691,0.0,-0.0193933491008907,-0.0005398879572338,-0.0188534611436569
19900228.0,-0.0069488818731912,1990,2,28,1,-20,0,0,0.0,-0.0069488818731912,-0.0224217443628122,-0.0035682832191552,-0.0188534611436569
19900301.0,-0.0056042834189663,1990,3,1,0,-1,21,-1,0.0,-0.0056042834189663,-0.0248624994746255,-0.0060090383309685,-0.0188534611436569
19900302.0,0.0030365125959058,1990,3,2,0,-2,20,-2,0.0,0.0030365125959058,-0.0235457569524121,-0.0046922958087551,-0.0188534611436569
19900305.0,-0.0075653895058533,1990,3,5,0,-3,19,-3,-0.0075653895058533,0.0,-0.0268438553581654,-0.0046922958087551,-0.0221515595494102
19900306.0,0.0036050667352729,1990,3,6,0,-4,18,-4,0.0036050667352729,0.0,-0.0252810101591798,-0.0046922958087551,-0.0205887143504246
19900307.0,0.0003743065262633,1990,3,7,0,-5,17,-5,0.0003743065262633,0.0,-0.0251184813161894,-0.0046922958087551,-0.0204261855074341
19900308.0,0.0003738183926546,1990,3,8,0,-6,16,-6,0.0003738183926546,0.0,-0.0249561643876623,-0.0046922958087551,-0.0202638685789071
19900309.0,-0.0056320770519262,1990,3,9,0,-7,15,-7,-0.0056320770519262,0.0,-0.0274090583189787,-0.0046922958087551,-0.0227167625102235
19900312.0,0.0009352028565189,1990,3,12,0,-8,14,-8,0.0009352028565189,0.0,-0.0270030946785361,-0.0046922958087551,-0.0223107988697809
19900313.0,-0.0069150237483453,1990,3,13,0,-9,13,-8,-0.0069150237483453,0.0,-0.030016682901976,-0.0046922958087551,-0.0253243870932207
19900314.0,0.0050345865133113,1990,3,14,0,-10,12,-8,0.0050345865133113,0.0,-0.0278356754007716,-0.0046922958087551,-0.0231433795920163
19900315.0,-0.0010274495587365,1990,3,15,0,-11,11,-8,-0.0010274495587365,0.0,-0.0282821204637507,-0.0046922958087551,-0.0235898246549954
19900316.0,0.0043091805926135,1990,3,16,0,-12,10,8,0.0043091805926135,0.0,-0.026414687779701,-0.0046922958087551,-0.0217223919709457
19900319.0,-0.0003261904761904,1990,3,19,0,-13,9,8,-0.0003261904761904,0.0,-0.0265563736131011,-0.0046922958087551,-0.0218640778043458
19900320.0,0.0030273856117788,1990,3,20,0,-14,8,8,0.0030273856117788,0.0,-0.0252435829080221,-0.0046922958087551,-0.0205512870992668
19900321.0,-0.0010231601631085,1990,3,21,0,-15,7,7,-0.0010231601631085,0.0,-0.0256881631981887,-0.0046922958087551,-0.0209958673894334
19900322.0,0.0010699104777836,1990,3,22,0,-16,6,6,0.0010699104777836,0.0,-0.0252237553746777,-0.0046922958087551,-0.0205314595659224
19900323.0,0.0002334576900044,1990,3,23,0,-17,5,5,0.0002334576900044,0.0,-0.0251223778213752,-0.0046922958087551,-0.0204300820126199
19900326.0,0.0003730815228553,1990,3,26,0,-18,4,4,0.0003730815228553,0.0,-0.0249603807918696,-0.0046922958087551,-0.0202680849831144
19900327.0,-0.0008803798753465,1990,3,27,0,-19,3,3,-0.0008803798753465,0.0,-0.0253428933165927,-0.0046922958087551,-0.0206505975078375
19900328.0,0.0002342608050455,1990,3,28,0,-20,2,2,0.0002342608050455,0.0,-0.0252411670564079,-0.0046922958087551,-0.0205488712476526
19900329.0,-0.0063002939774353,1990,3,29,0,-21,1,1,-0.0063002939774353,0.0,-0.0279860057185396,-0.0046922958087551,-0.0232937099097844
19900330.0,-0.0035374712747036,1990,3,30,1,-22,0,0,0.0,-0.0035374712747036,-0.0295250337144546,-0.0062313238046701,-0.0232937099097844
19900402.0,-0.0003194444444444,1990,4,2,0,-1,20,-1,0.0,-0.0003194444444444,-0.0296637888374081,-0.0063700789276237,-0.0232937099097844
19900403.0,0.000941948888265,1990,4,3,0,-2,19,-2,0.0,0.000941948888265,-0.0292548981798312,-0.0059611882700468,-0.0232937099097844
19900404.0,0.0050080013014316,1990,4,4,0,-3,18,-3,0.0050080013014316,0.0,-0.0270853788041921,-0.0059611882700468,-0.0211241905341452
19900405.0,-0.0015729591125451,1990,4,5,0,-4,17,-4,-0.0015729591125451,0.0,-0.0277690440968773,-0.0059611882700468,-0.0218078558268304
19900406.0,0.0003796801467655,1990,4,6,0,-5,16,-5,0.0003796801467655,0.0,-0.0276041823996254,-0.0059611882700468,-0.0216429941295785
