Date,Return,Year,Month,Day,Business_Month_End,DX_to_Prev,DX_to_Curr,DX_Class,Non_Focus_Returns,Focus_Returns,Log_Cum_All_Returns,Log_Cum_Focus_Returns,Log_Cum_Non_Focus_Returns
20131231.0,0.0047301188537834,2013,12,31,1,-22,0,0,0.0,0.0047301188537834,0.0020494213258582,0.0020494213258582,0.0
20140102.0,-0.0095863487098243,2014,1,2,0,-2,21,-2,0.0,-0.0095863487098243,-0.0021339608923485,-0.0021339608923485,0.0
20140103.0,-0.0001943019277513,2014,1,3,0,-3,20,-3,0.0,-0.0001943019277513,-0.0022183533464679,-0.0022183533464679,0.0
20140106.0,-0.0028726375977629,2014,1,6,0,-4,19,-4,-0.0028726375977629,0.0,-0.003467719351953,-0.0022183533464679,-0.0012493660054851
20140107.0,0.0061400777509667,2014,1,7,0,-5,18,-5,0.0061400777509667,0.0,-0.0008092706804806,-0.0022183533464679,0.0014090826659872
20140108.0,0.0002160642263186,2014,1,8,0,-6,17,-6,0.0002160642263186,0.0,-0.0007154453150412,-0.0022183533464679,0.0015029080314266
20140109.0,0.0006524151541624,2014,1,9,0,-7,16,-7,0.0006524151541624,0.0,-0.0004321974012504,-0.0022183533464679,0.0017861559452174
20140110.0,0.0027206563003793,2014,1,10,0,-8,15,-8,0.0027206563003793,0.0,0.0007477642090134,-0.0022183533464679,0.0029661175554813
20140113.0,-0.0133335425204361,2014,1,13,0,-9,14,-8,-0.0133335425204361,0.0,-0.0050818715282111,-0.0022183533464679,-0.0028635181817432
20140114.0,0.0109240334119009,2014,1,14,0,-10,13,-8,0.0109240334119009,0.0,-0.0003633500713226,-0.0022183533464679,0.0018550032751452
20140115.0,0.0053882506971434,2014,1,15,0,-11,12,-8,0.0053882506971434,0.0,0.0019704555400371,-0.0022183533464679,0.004188808886505
20140116.0,-0.0013011271341031,2014,1,16,0,-12,11,8,-0.0013011271341031,0.0,0.0014050152707801,-0.0022183533464679,0.003623368617248
20140117.0,-0.004258638912281,2014,1,17,0,-13,10,8,-0.004258638912281,0.0,-0.0004484375094745,-0.0022183533464679,0.0017699158369933
20140121.0,0.0029664706479679,2014,1,21,0,-15,8,8,0.0029664706479679,0.0,0.0008379772098814,-0.0022183533464679,0.0030563305563493
20140122.0,0.0006496801258828,2014,1,22,0,-16,7,7,0.0006496801258828,0.0,0.0011200380887988,-0.0022183533464679,0.0033383914352667
20140123.0,-0.0081946281255928,2014,1,23,0,-17,6,6,-0.0081946281255928,0.0,-0.0024535056985031,-0.0022183533464679,-0.0002351523520352
20140124.0,-0.0213374130089265,2014,1,24,0,-18,5,5,-0.0213374130089265,0.0,-0.0118205195804245,-0.0022183533464679,-0.0096021662339566
20140127.0,-0.0049213255445103,2014,1,27,0,-19,4,4,-0.0049213255445103,0.0,-0.0139631006124546,-0.0022183533464679,-0.0117447472659867
20140128.0,0.0059528434138401,2014,1,28,0,-20,3,3,0.0,0.0059528434138401,-0.0113854780686587,0.0003592691973279,-0.0117447472659867
20140129.0,-0.0096069622215794,2014,1,29,0,-21,2,2,0.0,-0.0096069622215794,-0.0155778993662038,-0.0038331521002172,-0.0117447472659867
20140130.0,0.0105996732087244,2014,1,30,0,-22,1,1,0.0,0.0105996732087244,-0.0109987458990512,0.0007460013669354,-0.0117447472659867
20140131.0,-0.0058591827988978,2014,1,31,1,-23,0,0,0.0,-0.0058591827988978,-0.0135508405742776,-0.0018060933082909,-0.0117447472659867
20140203.0,-0.0225071959518085,2014,2,3,0,-1,19,-1,0.0,-0.0225071959518085,-0.0234372716149825,-0.0116925243489958,-0.0117447472659867
20140204.0,0.0069735787853014,2014,2,4,0,-2,18,-2,0.0,0.0069735787853014,-0.0204191960348342,-0.0086744487688475,-0.0117447472659867
20140205.0,-0.0012288311026715,2014,2,5,0,-3,17,-3,0.0,-0.0012288311026715,-0.0209531987687375,-0.0092084515027508,-0.0117447472659867
20140206.0,0.0131847300153456,2014,2,6,0,-4,16,-4,0.0131847300153456,0.0,-0.0152645629720272,-0.0092084515027508,-0.0060561114692763
20140207.0,0.0123924773535301,2014,2,7,0,-5,15,-5,0.0123924773535301,0.0,-0.0099156535264952,-0.0092084515027508,-0.0007072020237443
20140210.0,0.0018338645608,2014,2,10,0,-6,14,-6,0.0018338645608,0.0,-0.0091199456546184,-0.0092084515027508,8.850584813231502e-05
20140211.0,0.0109416040147924,2014,2,11,0,-7,13,-7,0.0109416040147924,0.0,-0.0043938759059558,-0.0092084515027508,0.0048145755967948
20140212.0,0.000492767700904,2014,2,12,0,-8,12,-8,0.000492767700904,0.0,-0.0041799223229724,-0.0092084515027508,0.0050285291797783
20140213.0,0.0051616385799265,2014,2,13,0,-9,11,-8,0.0051616385799265,0.0,-0.0019440166871181,-0.0092084515027508,0.0072644348156325
20140214.0,0.0055179836235502,2014,2,14,0,-10,10,-8,0.0055179836235502,0.0,0.0004458256435835,-0.0092084515027508,0.0096542771463343
20140218.0,0.0011935667940054,2014,2,18,0,-12,8,8,0.0011935667940054,0.0,0.0009638760136081,-0.0092084515027508,0.0101723275163588
20140219.0,-0.006624052803233,2014,2,19,0,-13,7,7,-0.006624052803233,0.0,-0.0019224838558593,-0.0092084515027508,0.0072859676468912
20140220.0,0.0058989361834148,2014,2,20,0,-14,6,6,0.0058989361834148,0.0,0.0006318649925763,-0.0092084515027508,0.009840316495327
20140221.0,-0.0011425890352267,2014,2,21,0,-15,5,5,-0.0011425890352267,0.0,0.0001353611755388,-0.0092084515027508,0.0093438126782894
20140224.0,0.005544871119694,2014,2,24,0,-16,4,4,0.005544871119694,0.0,0.0025368163617818,-0.0092084515027508,0.0117452678645324
20140225.0,-0.0003805202331302,2014,2,25,0,-17,3,3,0.0,-0.0003805202331302,0.0023715270743268,-0.0093737407902058,0.0117452678645324
20140226.0,5.183437363234899e-05,2014,2,26,0,-18,2,2,0.0,5.183437363234899e-05,0.0023940378733567,-0.0093512299911759,0.0117452678645324
20140227.0,0.0052458240898502,2014,2,27,0,-19,1,1,0.0,0.0052458240898502,0.004666315541365,-0.0070789523231675,0.0117452678645324
20140228.0,0.0025273358118157,2014,2,28,1,-20,0,0,0.0,0.0025273358118157,0.0057625388588967,-0.0059827290056359,0.0117452678645324
20140303.0,-0.0070337081453598,2014,3,3,0,-1,20,-1,0.0,-0.0070337081453598,0.002697044645314,-0.0090482232192185,0.0117452678645324
20140304.0,0.0140534989454878,2014,3,4,0,-2,19,-2,0.0,0.0140534989454878,0.0087579125458959,-0.0029873553186367,0.0117452678645324
20140305.0,0.0009037809485455,2014,3,5,0,-3,18,-3,0.0,0.0009037809485455,0.0091502423612853,-0.0025950255032473,0.0117452678645324
20140306.0,0.0022882457867589,2014,3,6,0,-4,17,-4,0.0022882457867589,0.0,0.0101428796133398,-0.0025950255032473,0.012737905116587
20140307.0,0.0004228238066946,2014,3,7,0,-5,16,-5,0.0004228238066946,0.0,0.0103264708487667,-0.0025950255032473,0.0129214963520139
20140310.0,-0.0005330727207556,2014,3,10,0,-6,15,-6,-0.0005330727207556,0.0,0.0100948985797744,-0.0025950255032473,0.0126899240830215
20140311.0,-0.0049444604604875,2014,3,11,0,-7,14,-7,-0.0049444604604875,0.0,0.0079422203731136,-0.0025950255032473,0.0105372458763607
20140312.0,0.00026482843315,2014,3,12,0,-8,13,-8,0.00026482843315,0.0,0.0080572186735439,-0.0025950255032473,0.0106522441767911
20140313.0,-0.0112151301280572,2014,3,13,0,-9,12,-8,-0.0112151301280572,0.0,0.0031590310082938,-0.0025950255032473,0.0057540565115409
20140314.0,-0.0028102009054371,2014,3,14,0,-10,11,-8,-0.0028102009054371,0.0,0.0019368581809829,-0.0025950255032473,0.0045318836842301
20140317.0,0.0090413076327485,2014,3,17,0,-11,10,8,0.0090413076327485,0.0,0.0058458037139839,-0.0025950255032473,0.0084408292172311
20140318.0,0.0071361670102415,2014,3,18,0,-12,9,8,0.0071361670102415,0.0,0.0089339958001616,-0.0025950255032473,0.0115290213034087
20140319.0,-0.0053313987275536,2014,3,19,0,-13,8,8,-0.0053313987275536,0.0,0.0066124045739564,-0.0025950255032473,0.0092074300772036
20140320.0,0.0058213147695585,2014,3,20,0,-14,7,7,0.0058213147695585,0.0,0.0091332392678112,-0.0025950255032473,0.0117282647710584
